ME_NUMCDE;ME_LIVREA;ME_CPROIN;ME_NQTUVC;AR_VOLSPCB;TRUNC(ME_DATEXP)
PO0017KOGJ;F276;764593;22;0.5;02.19.2019
PO0017KOGJ;F276;402997;14;2.0;02.19.2019
PO0017KOGJ;F276;457072;1;9.4;02.19.2019
PO0017KOGJ;F276;500788;1;5.4;02.19.2019
PO0017KOGJ;F276;452276;30;1.8;02.19.2019
PO0017KOGJ;F276;452276;30;1.8;02.19.2019
PO0017KOGJ;F276;8225;20;1.3;02.19.2019
PO0017KOGJ;F276;493546;50;0.9;02.19.2019
PO0017KOGJ;F276;325768;10;0.8;02.19.2019
PO0017KOGJ;F276;325771;10;0.8;02.19.2019
PO0017KOGJ;F276;325763;10;0.8;02.19.2019
PO0017KOGJ;F276;398061;10;0.9;02.19.2019
PO0017KOGJ;F276;527599;10;0.7;02.19.2019
PO0017KOGJ;F276;750480;10;0.8;02.19.2019
PO0017KOGJ;F276;318834;10;1.4;02.19.2019
PO0017KOGJ;F276;544802;10;1.3;02.19.2019
PO0017KOGJ;F276;623512;10;1.3;02.19.2019
PO0017KOGJ;F276;721359;10;0.1;02.19.2019
PO0017KOGJ;F276;750482;10;0.8;02.19.2019
PO0017KOGJ;F276;710644;10;0.1;02.19.2019
PO0017KOGJ;F276;255349;20;1.3;02.19.2019
PO0017KOGJ;F276;700392;10;1.2;02.19.2019
PO0017KOJB;F315;663331;12;6.2;02.19.2019
PO0017KOJB;F315;428108;4;1.9;02.19.2019
PO0017KOJB;F315;736898;12;2.0;02.19.2019
PO0017KOJB;F315;740266;6;1.5;02.19.2019
PO0017KOJB;F315;354466;30;0.4;02.19.2019
PO0017KOJB;F315;544010;12;7.1;02.19.2019
PO0017KOJB;F315;736897;24;0.4;02.19.2019
PO0017KOJB;F315;652118;12;4.2;02.19.2019
PO0017KOJB;F315;728830;24;2.2;02.19.2019
PO0017KOJB;F315;712193;10;3.6;02.19.2019
PO0017KOZG;F348;574699;6;4.4;02.19.2019
PO0017KOZG;F348;474835;36;3.4;02.19.2019
PO0017KOZG;F348;744380;12;2.6;02.19.2019
PO0017KOZG;F348;62812;12;1.9;02.19.2019
PO0017KOZG;F348;689772;12;2.1;02.19.2019
PO0017KOZG;F348;554459;12;1.9;02.19.2019
PO0017KOZG;F348;539738;20;0.3;02.19.2019
PO0017KOZG;F348;556221;20;0.3;02.19.2019
PO0017KOZG;F348;556220;40;0.3;02.19.2019
PO0017KOZG;F348;539746;20;0.3;02.19.2019
PO0017KOZG;F348;556222;20;0.3;02.19.2019
PO0017KOZG;F348;539744;20;0.3;02.19.2019
PO0017KOZG;F348;619695;24;0.3;02.19.2019
PO0017KOZG;F348;561076;20;0.3;02.19.2019
PO0017KOZG;F348;28900;6;2.6;02.19.2019
PO0017KOZG;F348;619581;6;2.0;02.19.2019
PO0017KOZG;F348;618936;24;0.3;02.19.2019
PO0017KOZG;F348;574956;6;1.4;02.19.2019
PO0017KOZG;F348;669895;24;0.2;02.19.2019
PO0017KOZG;F348;618922;18;0.3;02.19.2019
PO0017KOZG;F348;31400;140;0.1;02.19.2019
PO0017KOZG;F348;710307;1;3.6;02.19.2019
PO0017KOGJ;F276;366439;16;1.5;02.19.2019
PO0017KOGJ;F276;132286;14;0.2;02.19.2019
PO0017KOGJ;F276;72549;1;56.0;02.19.2019
PO0017KOGJ;F276;72549;1;56.0;02.19.2019
PO0017KOGJ;F276;248677;800;1.4;02.19.2019
PO0017KOGJ;F276;91548;1 500;1.8;02.19.2019
PO0017KOGJ;F276;593182;24;0.3;02.19.2019
PO0017KOGJ;F276;594564;24;0.3;02.19.2019
PO0017KOGJ;F276;539742;20;0.3;02.19.2019
PO0017KOGJ;F276;557513;24;0.3;02.19.2019
PO0017KOGJ;F276;556221;20;0.3;02.19.2019
PO0017KOGJ;F276;556220;40;0.3;02.19.2019
PO0017KOGJ;F276;539743;20;0.3;02.19.2019
PO0017KOGJ;F276;539741;20;0.3;02.19.2019
PO0017KOGJ;F276;539746;40;0.3;02.19.2019
PO0017KOGJ;F276;556223;20;0.3;02.19.2019
PO0017KOGJ;F276;561076;20;0.3;02.19.2019
PO0017KOGJ;F276;28295;18;1.0;02.19.2019
PO0017KOGJ;F276;354444;30;0.4;02.19.2019
PO0017KOGJ;F276;367007;50;0.9;02.19.2019
PO0017KOGJ;F276;366976;20;1.5;02.19.2019
PO0017KOGJ;F276;413367;5;1.1;02.19.2019
PO0017KOGJ;F276;740089;40;1.4;02.19.2019
PO0017KOGJ;F276;597388;24;2.5;02.19.2019
PO0017KOGJ;F276;720046;10;2.0;02.19.2019
PO0017KOGJ;F276;488984;20;3.9;02.19.2019
PO0017KOGJ;F276;739435;10;1.1;02.19.2019
PO0017KOGJ;F276;721378;26;0.0;02.19.2019
PO0017KOGJ;F276;465652;10;2.2;02.19.2019
PO0017KOGJ;F276;500718;20;1.9;02.19.2019
PO0017KOGJ;F276;500727;5;1.5;02.19.2019
PO0017KOGJ;F276;663329;6;2.8;02.19.2019
PO0017KOGJ;F276;712376;6;3.2;02.19.2019
PO0017KOZG;F348;635752;12;1.2;02.19.2019
PO0017KOZG;F348;47239;12;1.9;02.19.2019
PO0017KOZG;F348;772362;24;3.0;02.19.2019
PO0017KOZG;F348;772360;6;3.0;02.19.2019
PO0017KOZG;F348;756078;12;2.3;02.19.2019
PO0017KOZG;F348;376403;20;1.2;02.19.2019
PO0017KOZG;F348;117;12;3.6;02.19.2019
PO0017KOZG;F348;3959;12;3.5;02.19.2019
PO0017KOZG;F348;67802;6;3.5;02.19.2019
PO0017KOZG;F348;429271;6;3.4;02.19.2019
PO0017KOZG;F348;429274;6;3.4;02.19.2019
PO0017KOZG;F348;36356;6;2.7;02.19.2019
PO0017KOZG;F348;474025;6;3.5;02.19.2019
PO0017KOZG;F348;470398;10;8.6;02.19.2019
PO0017KOZG;F348;560612;12;3.4;02.19.2019
PO0017KOZG;F348;576047;6;2.2;02.19.2019
PO0017KOZG;F348;481368;1;1.3;02.19.2019
PO0017KOZG;F348;697915;3;1.6;02.19.2019
PO0017KOZG;F348;499170;1;2.3;02.19.2019
PO0017KOZG;F348;549362;1;3.2;02.19.2019
PO0017KOZG;F348;558921;1;1.9;02.19.2019
PO0017KOZG;F348;486180;1;2.7;02.19.2019
PO0017KOZG;F348;548205;30;0.9;02.19.2019
PO0017KOZG;F348;548209;40;0.9;02.19.2019
PO0017KOZG;F348;589891;30;1.3;02.19.2019
PO0017KOZG;F348;440330;10;1.3;02.19.2019
PO0017KOZG;F348;8217;30;1.4;02.19.2019
PO0017KOZG;F348;33409;10;1.3;02.19.2019
PO0017KOZG;F348;702116;16;1.7;02.19.2019
PO0017KOZG;F348;661431;12;2.0;02.19.2019
PO0017KOZG;F348;575008;20;1.3;02.19.2019
PO0017KOZG;F348;575010;20;0.9;02.19.2019
PO0017KOGJ;F276;557520;24;0.3;02.19.2019
PO0017DOY7;F276;325852;40;0.3;02.19.2019
PO0017CNVW;F276;675076;10;3.4;02.19.2019
PO0017GPTB;F276;714336;24;0.8;02.19.2019
PO0017FP7A;F276;458579;6;1.1;02.19.2019
PO0017FP7F;F276;184046;10;1.4;02.19.2019
PO0017KOGJ;F276;608184;35;0.6;02.19.2019
PO0017KOGJ;F276;662519;1;3.6;02.19.2019
PO0017KOGJ;F276;609244;24;1.5;02.19.2019
PO0017KOGJ;F276;696967;35;1.6;02.19.2019
PO0017KOGJ;F276;24294;40;0.7;02.19.2019
PO0017KOGJ;F276;14394;6;0.7;02.19.2019
PO0017KOGJ;F276;488346;20;4.8;02.19.2019
PO0017KOGJ;F276;368348;36;2.0;02.19.2019
PO0017KOGJ;F276;765721;10;4.0;02.19.2019
PO0017KOGJ;F276;721210;10;1.3;02.19.2019
PO0017KOGJ;F276;714690;12;0.4;02.19.2019
PO0017KOGJ;F276;319269;12;0.8;02.19.2019
PO0017KOGJ;F276;762101;24;0.6;02.19.2019
PO0017KOGJ;F276;744358;24;0.6;02.19.2019
PO0017KOGJ;F276;688712;24;0.8;02.19.2019
PO0017KOGJ;F276;3745;6;3.5;02.19.2019
PO0017KOGJ;F276;503520;24;3.6;02.19.2019
PO0017KOGJ;F276;574699;6;4.4;02.19.2019
PO0017KOGJ;F276;49142;12;1.9;02.19.2019
PO0017KOGJ;F276;62812;24;1.9;02.19.2019
PO0017KOGJ;F276;410920;36;2.3;02.19.2019
PO0017KOGJ;F276;554459;24;1.9;02.19.2019
PO0017KOGJ;F276;117;18;3.6;02.19.2019
PO0017KOGJ;F276;118;6;3.5;02.19.2019
PO0017KOGJ;F276;20866;6;2.8;02.19.2019
PO0017KOGJ;F276;36356;6;2.7;02.19.2019
PO0017KOZG;F348;35937;2;7.9;02.19.2019
PO0017KOZG;F348;676277;6;4.0;02.19.2019
PO0017KOZG;F348;119;6;4.4;02.19.2019
PO0017KOZG;F348;119;6;3.2;02.19.2019
PO0017KOZG;F348;21697;6;2.8;02.19.2019
PO0017KOZG;F348;486807;6;2.1;02.19.2019
PO0017KOZG;F348;486805;6;2.1;02.19.2019
PO0017KOZG;F348;600295;6;2.7;02.19.2019
PO0017KOZG;F348;440815;2;10.4;02.19.2019
PO0017KOZG;F348;361767;6;1.9;02.19.2019
PO0017KOZG;F348;361769;6;1.9;02.19.2019
PO0017KOZG;F348;233272;6;1.9;02.19.2019
PO0017KOZG;F348;514745;12;1.8;02.19.2019
PO0017KOZG;F348;14047;12;1.9;02.19.2019
PO0017KOZG;F348;597793;12;1.8;02.19.2019
PO0017KOZG;F348;665;12;1.1;02.19.2019
PO0017KOZG;F348;20872;12;2.8;02.19.2019
PO0017KOZG;F348;663870;10;0.9;02.19.2019
PO0017KOZG;F348;687795;10;1.1;02.19.2019
PO0017KOZG;F348;610639;8;1.2;02.19.2019
PO0017KOZG;F348;680316;10;1.3;02.19.2019
PO0017KOZG;F348;564760;10;1.3;02.19.2019
PO0017KOZG;F348;531169;10;1.3;02.19.2019
PO0017KOZG;F348;589892;10;1.3;02.19.2019
PO0017KOZG;F348;463389;10;1.4;02.19.2019
PO0017KOZG;F348;621319;10;1.3;02.19.2019
PO0017KOZG;F348;751044;10;0.9;02.19.2019
PO0017KOZG;F348;706819;20;0.9;02.19.2019
PO0017KOZG;F348;531310;10;1.3;02.19.2019
PO0017KOZG;F348;450316;10;1.3;02.19.2019
PO0017KOZG;F348;8617;10;1.6;02.19.2019
PO0017KOZG;F348;440331;20;1.3;02.19.2019
PO0017KOZG;F348;609135;30;0.7;02.19.2019
PO0017KOGJ;F276;610713;12;2.3;02.19.2019
PO0017KOGJ;F276;611744;12;3.0;02.19.2019
PO0017KOGJ;F276;528897;6;1.3;02.19.2019
PO0017KOGJ;F276;494794;4;0.6;02.19.2019
PO0017KOGJ;F276;494802;4;0.6;02.19.2019
PO0017KOGJ;F276;712193;10;3.6;02.19.2019
PO0017KOGJ;F276;746812;8;1.9;02.19.2019
PO0017KOGJ;F276;697915;2;1.6;02.19.2019
PO0017KOGJ;F276;501438;1;1.3;02.19.2019
PO0017KOGJ;F276;1042;1;1.6;02.19.2019
PO0017KOGJ;F276;548209;20;0.9;02.19.2019
PO0017KOGJ;F276;589891;10;1.3;02.19.2019
PO0017KOGJ;F276;440330;40;1.3;02.19.2019
PO0017KOGJ;F276;8217;30;1.4;02.19.2019
PO0017KOGJ;F276;33409;30;1.3;02.19.2019
PO0017KOGJ;F276;318626;10;0.9;02.19.2019
PO0017KOGJ;F276;763919;28;0.5;02.19.2019
PO0017KOGJ;F276;66169;60;0.4;02.19.2019
PO0017KOGJ;F276;518190;60;0.4;02.19.2019
PO0017KOGJ;F276;460631;35;0.7;02.19.2019
PO0017KOGJ;F276;769349;13;0.9;02.19.2019
PO0017KOGJ;F276;441066;21;1.4;02.19.2019
PO0017KOGJ;F276;750736;22;0.3;02.19.2019
PO0017KOGJ;F276;441069;21;1.4;02.19.2019
PO0017KOGJ;F276;441072;35;0.6;02.19.2019
PO0017KOGJ;F276;751850;11;1.4;02.19.2019
PO0017KOGJ;F276;687051;19;0.5;02.19.2019
PO0017KOGJ;F276;719781;30;0.7;02.19.2019
PO0017KOGJ;F276;171626;12;1.2;02.19.2019
PO0017KOGJ;F276;715850;12;1.2;02.19.2019
PO0017KOGJ;F276;715853;12;1.2;02.19.2019
PO0017KOGJ;F276;587016;1;6.8;02.19.2019
PO0017KOJB;F315;135639;20;1.5;02.19.2019
PO0017KOJB;F315;574683;30;0.6;02.19.2019
PO0017KOJB;F315;300383;20;1.4;02.19.2019
PO0017KOJB;F315;327706;20;1.2;02.19.2019
PO0017KOJB;F315;217868;12;2.6;02.19.2019
PO0017KOJB;F315;329756;15;1.4;02.19.2019
PO0017KOJB;F315;606634;15;0.4;02.19.2019
PO0017KOJB;F315;136623;30;0.7;02.19.2019
PO0017KOJB;F315;727555;30;0.6;02.19.2019
PO0017KOJB;F315;591954;12;2.4;02.19.2019
PO0017KOJB;F315;329138;12;1.9;02.19.2019
PO0017KOJB;F315;522639;6;2.0;02.19.2019
PO0017KOJB;F315;550859;6;2.0;02.19.2019
PO0017KOJB;F315;648266;24;1.4;02.19.2019
PO0017KOJB;F315;501250;20;1.2;02.19.2019
PO0017KOJB;F315;744381;24;4.2;02.19.2019
PO0017KOZG;F348;493546;10;0.9;02.19.2019
PO0017KOZG;F348;325768;10;0.8;02.19.2019
PO0017KOZG;F348;325771;10;0.8;02.19.2019
PO0017KOZG;F348;325763;10;0.8;02.19.2019
PO0017KOZG;F348;398061;10;0.9;02.19.2019
PO0017KOZG;F348;318638;10;0.9;02.19.2019
PO0017KOZG;F348;750480;10;0.8;02.19.2019
PO0017KOZG;F348;744058;30;0.5;02.19.2019
PO0017KOZG;F348;47547;26;0.8;02.19.2019
PO0017KOZG;F348;47547;26;0.8;02.19.2019
PO0017KOZG;F348;544801;10;1.3;02.19.2019
PO0017KOZG;F348;564759;10;1.3;02.19.2019
PO0017KOZG;F348;680318;10;1.3;02.19.2019
PO0017KOZG;F348;721359;10;0.1;02.19.2019
PO0017KOZG;F348;750481;10;0.8;02.19.2019
PO0017KOZG;F348;710644;20;0.1;02.19.2019
PO0017KOZG;F348;750537;10;1.2;02.19.2019
PO0017KOGJ;F276;698787;20;0.3;02.19.2019
PO0017KOGJ;F276;376996;27;0.2;02.19.2019
PO0017KOGJ;F276;637692;20;1.2;02.19.2019
PO0017KOGJ;F276;712494;24;0.4;02.19.2019
PO0017KOGJ;F276;665501;20;0.3;02.19.2019
PO0017KOGJ;F276;712495;24;0.6;02.19.2019
PO0017KOGJ;F276;670768;20;1.0;02.19.2019
PO0017KOGJ;F276;580642;60;0.6;02.19.2019
PO0017KOGJ;F276;474000;60;0.4;02.19.2019
PO0017KOGJ;F276;693300;48;0.7;02.19.2019
PO0017KOGJ;F276;452205;11;1.4;02.19.2019
PO0017KOGJ;F276;37880;24;1.1;02.19.2019
PO0017KOGJ;F276;15902;18;1.2;02.19.2019
PO0017KOGJ;F276;584509;24;0.2;02.19.2019
PO0017KOGJ;F276;766582;12;2.0;02.19.2019
PO0017KOGJ;F276;479856;20;2.3;02.19.2019
PO0017KOJB;F315;775670;12;0.6;02.19.2019
PO0017KOJB;F315;676576;12;1.0;02.19.2019
PO0017KOJB;F315;523343;12;1.0;02.19.2019
PO0017KOJB;F315;266448;24;1.0;02.19.2019
PO0017KOJB;F315;15660;10;1.3;02.19.2019
PO0017KOJB;F315;17245;6;2.2;02.19.2019
PO0017KOJB;F315;490859;20;1.3;02.19.2019
PO0017KOJB;F315;689251;20;1.3;02.19.2019
PO0017KOJB;F315;365572;8;2.4;02.19.2019
PO0017KOJB;F315;34915;6;3.3;02.19.2019
PO0017KOJB;F315;638313;10;1.0;02.19.2019
PO0017KOJB;F315;757520;15;1.7;02.19.2019
PO0017KOJB;F315;747302;12;0.7;02.19.2019
PO0017KOJB;F315;226231;9;1.0;02.19.2019
PO0017KOJB;F315;428254;2;6.1;02.19.2019
PO0017KOJB;F315;580546;8;2.2;02.19.2019
PO0017KOJB;F315;640144;20;1.3;02.19.2019
PO0017KOJB;F315;10503;60;1.3;02.19.2019
PO0017KOJB;F315;604163;20;1.2;02.19.2019
PO0017KOJB;F315;681022;20;1.1;02.19.2019
PO0017KOJB;F315;743430;24;0.8;02.19.2019
PO0017KOJB;F315;513732;6;3.3;02.19.2019
PO0017KOJB;F315;410368;12;0.8;02.19.2019
PO0017KOJB;F315;688712;24;0.8;02.19.2019
PO0017KOJB;F315;561515;12;0.8;02.19.2019
